,date,price
199,2020-01-10,8190.31
200,2020-01-11,8024.58
201,2020-01-12,8181.49
202,2020-01-13,8106.56
203,2020-01-14,8820.95
204,2020-01-15,8813.21
205,2020-01-16,8719.63
206,2020-01-17,8894.83
207,2020-01-18,8909.28
208,2020-01-19,8702.59
209,2020-01-20,8634.03
210,2020-01-21,8724.84
211,2020-01-22,8667.26
212,2020-01-23,8394.28
213,2020-01-24,8431.78
214,2020-01-25,8345.88
215,2020-01-26,8602.37
216,2020-01-27,8898.94
217,2020-01-28,9391.97
218,2020-01-29,9286.18
219,2020-01-30,9501.38
220,2020-01-31,9342.23
221,2020-02-01,9384.45
222,2020-02-02,9334.25
223,2020-02-03,9288.96
224,2020-02-04,9171.98
225,2020-02-05,9611.42
226,2020-02-06,9755.84
227,2020-02-07,9808.36
228,2020-02-08,9898.25
229,2020-02-09,10157.78
230,2020-02-10,9858.03
231,2020-02-11,10269.43
232,2020-02-12,10347.93
233,2020-02-13,10233.32
234,2020-02-14,10360.37
235,2020-02-15,9905.43
236,2020-02-16,9925.51
237,2020-02-17,9702.48
238,2020-02-18,10182.6
239,2020-02-19,9602.43
240,2020-02-20,9608.8
241,2020-02-21,9697.86
242,2020-02-22,9671.46
243,2020-02-23,9977.39
244,2020-02-24,9664.21
245,2020-02-25,9316.18
246,2020-02-26,8793.5
247,2020-02-27,8821.5
248,2020-02-28,8719.29
249,2020-02-29,8545.45
250,2020-03-01,8549.38
251,2020-03-02,8919.74
252,2020-03-03,8765.68
253,2020-03-04,8773.78
254,2020-03-05,9074.82
255,2020-03-06,9160.39
256,2020-03-07,8903.72
257,2020-03-08,8057.67
258,2020-03-09,7944.4
259,2020-03-10,7894.66
260,2020-03-11,7945.36
261,2020-03-12,4916.78
262,2020-03-13,5632.58
263,2020-03-14,5181.77
264,2020-03-15,5357.02
265,2020-03-16,5045.0
266,2020-03-17,5337.66
267,2020-03-18,5413.06
268,2020-03-19,6184.88
269,2020-03-20,6206.44
270,2020-03-21,6195.43
271,2020-03-22,5828.15
272,2020-03-23,6503.53
273,2020-03-24,6767.18
274,2020-03-25,6694.21
275,2020-03-26,6757.95
276,2020-03-27,6382.8
277,2020-03-28,6252.49
278,2020-03-29,5882.2
279,2020-03-30,6403.31
280,2020-03-31,6423.61
281,2020-04-01,6663.63
282,2020-04-02,6804.42
283,2020-04-03,6743.68
284,2020-04-04,6875.95
285,2020-04-05,6781.64
286,2020-04-06,7347.22
287,2020-04-07,7201.57
288,2020-04-08,7367.37
289,2020-04-09,7294.55
290,2020-04-10,6876.49
291,2020-04-11,6887.6
292,2020-04-12,6913.76
293,2020-04-13,6859.43
294,2020-04-14,6879.44
295,2020-04-15,6629.54
296,2020-04-16,7114.55
297,2020-04-17,7037.12
298,2020-04-18,7264.29
299,2020-04-19,7132.88
300,2020-04-20,6842.45
301,2020-04-21,6855.11
302,2020-04-22,7135.41
303,2020-04-23,7489.25
304,2020-04-24,7509.44
305,2020-04-25,7546.92
306,2020-04-26,7701.35
307,2020-04-27,7787.41
308,2020-04-28,7760.32
309,2020-04-29,8784.96
310,2020-04-30,8637.56
311,2020-05-01,8829.12
312,2020-05-02,8981.11
313,2020-05-03,8907.19
314,2020-05-04,8881.65
315,2020-05-05,9029.75
316,2020-05-06,9153.2
317,2020-05-07,9999.93
318,2020-05-08,9808.18
319,2020-05-09,9541.13
320,2020-05-10,8735.05
321,2020-05-11,8568.88
322,2020-05-12,8821.18
323,2020-05-13,9317.44
324,2020-05-14,9793.19
325,2020-05-15,9311.69
326,2020-05-16,9387.08
327,2020-05-17,9670.56
328,2020-05-18,9722.73
329,2020-05-19,9780.2
330,2020-05-20,9509.45
331,2020-05-21,9059.11
332,2020-05-22,9170.74
333,2020-05-23,9186.19
334,2020-05-24,8718.49
335,2020-05-25,8901.48
336,2020-05-26,8844.5
337,2020-05-27,9204.62
338,2020-05-28,9579.71
339,2020-05-29,9424.62
340,2020-05-30,9699.78
341,2020-05-31,9450.47
342,2020-06-01,10211.23
343,2020-06-02,9523.75
344,2020-06-03,9666.06
345,2020-06-04,9794.55
346,2020-06-05,9622.02
347,2020-06-06,9671.46
348,2020-06-07,9750.7
349,2020-06-08,9782.58
350,2020-06-09,9779.7
351,2020-06-10,9891.84
352,2020-06-11,9268.13
353,2020-06-12,9464.23
354,2020-06-13,9474.65
355,2020-06-14,9333.7
356,2020-06-15,9429.65
357,2020-06-16,9526.7
358,2020-06-17,9459.13
359,2020-06-18,9380.67
360,2020-06-19,9301.83
361,2020-06-20,9359.18
362,2020-06-21,9292.81
363,2020-06-22,9691.61
364,2020-06-23,9624.3
365,2020-06-24,9292.94
366,2020-06-25,9241.32
367,2020-06-26,9158.07
368,2020-06-27,9007.14
369,2020-06-28,9120.39
370,2020-06-29,9187.07
371,2020-06-30,9136.47
372,2020-07-01,9238.89
373,2020-07-02,9092.8
374,2020-07-03,9066.46
375,2020-07-04,9142.2
376,2020-07-05,9081.44
377,2020-07-06,9347.05
378,2020-07-07,9257.32
379,2020-07-08,9439.2
380,2020-07-09,9238.95
381,2020-07-10,9288.57
382,2020-07-11,9237.13
383,2020-07-12,9300.95
384,2020-07-13,9237.89
385,2020-07-14,9256.07
386,2020-07-15,9193.22
387,2020-07-16,9133.23
388,2020-07-17,9156.79
389,2020-07-18,9177.22
390,2020-07-19,9216.02
391,2020-07-20,9164.42
392,2020-07-21,9392.83
393,2020-07-22,9537.24
394,2020-07-23,9615.21
395,2020-07-24,9550.23
396,2020-07-25,9708.41
397,2020-07-26,9942.01
398,2020-07-27,11042.94
399,2020-07-28,10933.26
400,2020-07-29,11112.04
401,2020-07-30,11113.66
402,2020-07-31,11352.72
403,2020-08-01,11812.42
404,2020-08-02,11063.5
405,2020-08-03,11234.73
406,2020-08-04,11194.18
407,2020-08-05,11752.05
408,2020-08-06,11771.27
409,2020-08-07,11603.82
410,2020-08-08,11770.77
411,2020-08-09,11686.34
412,2020-08-10,11897.41
413,2020-08-11,11389.01
414,2020-08-12,11570.19
